admission,ticket,NN,7.69,,9.9253025
alcohol,chemistry,NN,5.54,,9.292498
aluminum,metal,NN,7.83,,11.013691
announcement,effort,NN,2.75,,6.422364
announcement,news,NN,7.56,,8.692057
announcement,production,NN,3.38,,6.502728
announcement,warning,NN,6,,7.2493286
architecture,century,NN,3.78,,9.423523
arrangement,accommodation,NN,5.41,,8.868216
arrival,hotel,NN,6,,8.717343
asylum,madhouse,NN,8.87,,9.613503
atmosphere,landscape,NN,3.69,,8.969181
attempt,peace,NN,4.25,,7.551457
baby,mother,NN,7.85,,9.527336
bank,money,NN,8.12,,9.040225
baseball,season,NN,5.97,,8.662953
bed,closet,NN,6.72,,9.064708
bird,cock,NN,7.1,,9.606729
bird,crane,NN,7.38,,9.853037
bishop,rabbi,NN,6.69,,8.040883
board,recommendation,NN,4.47,,7.9218993
book,library,NN,7.46,,10.467144
book,paper,NN,7.46,,8.577766
boxing,round,NN,7.61,,7.1924953
boy,lad,NN,8.83,,9.168077
bread,butter,NN,6.19,,11.41362
brother,monk,NN,6.27,,7.9798737
calculation,computation,NN,8.44,,10.219757
canyon,landscape,NN,7.53,,8.71089
car,automobile,NN,8.94,,10.497795
car,flight,NN,4.94,,7.6271553
cell,phone,NN,7.81,,8.3459635
cemetery,woodland,NN,2.08,,7.2684155
century,nation,NN,3.16,,9.037805
century,year,NN,7.59,,8.763445
championship,tournament,NN,8.36,,10.152571
change,attitude,NN,5.44,,8.641948
chord,smile,NN,0.54,,7.0117106
closet,clothes,NN,8,,8.941826
coast,forest,NN,3.15,,8.351681
coast,hill,NN,4.38,,8.544805
coast,shore,NN,9.1,,10.039041
company,stock,NN,7.08,,9.20979
competition,price,NN,6.44,,10.2002325
computer,keyboard,NN,7.62,,10.896101
computer,laboratory,NN,6.78,,7.9720635
computer,news,NN,4.47,,7.4477057
computer,software,NN,8.5,,12.539695
concert,virtuoso,NN,6.81,,9.943592
consumer,confidence,NN,4.13,,5.274926
consumer,energy,NN,4.75,,7.298959
country,citizen,NN,7.31,,8.906087
credit,card,NN,8.06,,8.772234
credit,information,NN,5.31,,7.546489
cucumber,potato,NN,5.92,,10.257678
cup,article,NN,2.4,,7.0767565
cup,artifact,NN,2.92,,5.0742726
cup,coffee,NN,6.58,,11.31337
cup,drink,NN,7.25,,9.780665
cup,food,NN,5,,8.117301
cup,liquid,NN,5.9,,9.514103
cup,object,NN,3.69,,4.2841806
cup,substance,NN,1.92,,5.1505847
currency,market,NN,7.5,,9.363215
day,dawn,NN,7.53,,8.803819
day,summer,NN,3.94,,8.5933075
death,inmate,NN,5.03,,7.2205057
decoration,valor,NN,5.63,,7.570034
delay,news,NN,3.31,,7.878596
deployment,withdrawal,NN,5.88,,8.072188
development,issue,NN,3.97,,7.769658
direction,combination,NN,2.25,,7.6201887
disability,death,NN,5.47,,8.193419
disaster,area,NN,6.25,,7.1248984
discovery,space,NN,6.34,,7.3090043
dividend,calculation,NN,6.48,,7.360644
dividend,payment,NN,7.63,,9.953053
doctor,nurse,NN,7,,9.641327
doctor,personnel,NN,5,,5.6010137
dollar,buck,NN,9.22,,7.284584
dollar,loss,NN,6.09,,8.157045
dollar,profit,NN,7.38,,9.401718
dollar,yen,NN,7.78,,7.9533567
drink,car,NN,3.04,,6.5906105
drink,ear,NN,1.31,,6.545131
drink,eat,VB,6.87,,11.526682
drink,mother,NN,2.65,,6.561094
drink,mouth,NN,5.96,,7.6993294
drug,abuse,NN,6.85,,8.168148
energy,crisis,NN,5.94,,8.132585
energy,laboratory,NN,5.09,,8.034641
energy,secretary,NN,1.81,,5.430626
equipment,maker,NN,5.91,,6.912633
experience,music,NN,3.47,,6.897029
family,planning,NN,6.25,,7.129749
fertility,egg,NN,6.69,,7.376348
focus,life,NN,4.06,,7.0841956
food,fruit,NN,7.52,,9.387656
food,preparation,NN,6.22,,8.67566
food,rooster,NN,4.42,,7.0189953
football,basketball,NN,6.81,,10.639698
football,tennis,NN,6.63,,10.690574
forest,graveyard,NN,1.85,,7.337311
fuck,sex,NN,9.44,,5.8084054
furnace,stove,NN,8.79,,9.585111
game,defeat,NN,6.97,,8.13896
game,round,NN,5.97,,7.5500474
game,series,NN,6.19,,7.7711816
game,team,NN,7.69,,10.069375
game,victory,NN,7.03,,8.203419
gem,jewel,NN,8.96,,10.777789
gender,equality,NN,6.41,,8.293351
glass,magician,NN,2.08,,7.6319623
glass,metal,NN,5.56,,8.865121
government,crisis,NN,6.56,,8.644417
governor,interview,NN,3.25,,7.5691557
governor,office,NN,6.34,,8.929624
grocery,money,NN,5.94,,8.165044
holy,sex,NN,1.62,,5.6033773
hospital,infrastructure,NN,4.63,,6.499741
hotel,reservation,NN,8.03,,7.095226
image,surface,NN,4.56,,8.270343
impartiality,interest,NN,5.16,,7.8375435
investigation,effort,NN,4.59,,7.492215
jaguar,cat,NN,7.42,,9.533805
journal,association,NN,4.97,,7.809019
journey,car,NN,5.85,,8.200522
journey,voyage,NN,9.29,,8.566571
king,queen,NN,8.58,,10.378095
king,rook,NN,5.92,,7.34782
lad,brother,NN,4.46,,7.613444
lad,wizard,NN,0.92,,6.520598
law,lawyer,NN,8.38,,9.257509
lawyer,evidence,NN,6.69,,8.499887
liability,insurance,NN,7.03,,10.839938
life,death,NN,7.88,,9.207329
life,lesson,NN,5.94,,8.056433
life,term,NN,4.5,,7.590176
line,insurance,NN,2.69,,6.774403
liquid,water,NN,7.89,,9.740505
listing,category,NN,6.38,,9.195519
lobster,food,NN,7.81,,8.192219
lobster,wine,NN,5.7,,8.33645
love,sex,NN,6.77,,8.688264
lover,quarrel,NN,6.19,,8.493682
luxury,car,NN,6.47,,7.218211
magician,wizard,NN,9.02,,10.242019
man,governor,NN,5.25,,7.340851
man,woman,NN,8.3,,8.972989
midday,noon,NN,9.29,,9.040627
mile,kilometer,NN,8.66,,8.972181
minister,party,NN,6.63,,7.982562
ministry,culture,NN,4.69,,6.2212234
minority,peace,NN,3.69,,7.3030014
money,bank,NN,8.5,,9.040225
money,cash,NN,9.15,,9.710811
money,currency,NN,9.04,,9.615851
