abbreviate	abridge	11	29	0.3793103448275862
abdicate	renounce	34	91	0.37362637362637363
abhor	loathe	163	291	0.5601374570446735
abide	bide	42	130	0.3230769230769231
accelerate	quicken	24	73	0.3287671232876712
accentuate	emphasize	15	42	0.35714285714285715
accuse	impeach	35	117	0.29914529914529914
accuse	incriminate	18	56	0.32142857142857145
achieve	attain	99	695	0.14244604316546763
acquit	exonerate	19	34	0.5588235294117647
adopt	espouse	10	66	0.15151515151515152
adorn	decorate	101	610	0.16557377049180327
agree	concur	62	301	0.2059800664451827
amaze	astonish	211	805	0.26211180124223604
amaze	astound	171	378	0.4523809523809524
ameliorate	improve	27	89	0.30337078651685395
amplify	magnify	20	35	0.5714285714285714
annihilate	decimate	12	20	0.6
annoy	irritate	220	474	0.4641350210970464
annoy	vex	262	560	0.46785714285714286
annul	nullify	17	32	0.53125
apprehend	comprehend	97	318	0.3050314465408805
apprise	notify	5	21	0.23809523809523808
assume	presume	47	373	0.1260053619302949
astonish	astound	49	190	0.2578947368421053
baptize	christen	42	192	0.21875
behead	decapitate	13	48	0.2708333333333333
beset	harass	32	82	0.3902439024390244
calculate	compute	43	179	0.24022346368715083
castigate	chastise	19	28	0.6785714285714286
chasten	chastise	20	65	0.3076923076923077
compel	oblige	79	1628	0.048525798525798525
compete	vie	7	21	0.3333333333333333
complicate	perplex	57	117	0.48717948717948717
conciliate	pacify	14	27	0.5185185185185185
condemn	decry	14	40	0.35
confirm	corroborate	63	136	0.4632352941176471
confirm	substantiate	14	34	0.4117647058823529
confound	confuse	147	341	0.4310850439882698
conquer	suppress	29	171	0.1695906432748538
contaminate	pollute	38	87	0.4367816091954023
corroborate	substantiate	18	25	0.72
debase	demoralize	23	27	0.8518518518518519
deceive	delude	158	398	0.3969849246231156
dedicate	devote	56	353	0.15864022662889518
deduce	infer	37	97	0.38144329896907214
deduct	subtract	10	28	0.35714285714285715
deface	disfigure	36	60	0.6
defer	postpone	51	151	0.33774834437086093
defy	withstand	19	53	0.3584905660377358
condescend	deign	31	127	0.2440944881889764
deter	discourage	46	82	0.5609756097560976
dilate	distend	35	77	0.45454545454545453
disable	incapacitate	11	21	0.5238095238095238
disallow	forbid	8	25	0.32
disclose	divulge	25	72	0.3472222222222222
disinherit	disown	63	88	0.7159090909090909
dismantle	raze	9	34	0.2647058823529412
belittle	disparage	24	29	0.8275862068965517
disseminate	propagate	20	54	0.37037037037037035
distort	falsify	30	46	0.6521739130434783
edify	enlighten	24	33	0.7272727272727273
elicit	kindle	1	22	0.045454545454545456
elicit	evoke	6	23	0.2608695652173913
elude	evade	45	95	0.47368421052631576
enact	ordain	41	114	0.35964912280701755
encourage	promote	243	767	0.31681877444589307
encroach	infringe	16	29	0.5517241379310345
engrave	inscribe	40	188	0.2127659574468085
conjure	entreat	63	171	0.3684210526315789
eschew	shun	17	37	0.4594594594594595
circumvent	evade	16	22	0.7272727272727273
evaporate	vaporize	10	20	0.5
exaggerate	overstate	13	36	0.3611111111111111
exaggerate	overdraw	35	49	0.7142857142857143
exalt	extol	243	314	0.7738853503184714
exalt	glorify	170	367	0.46321525885558584
extol	glorify	38	85	0.4470588235294118
filch	pilfer	14	25	0.56
forbid	prohibit	176	1116	0.15770609318996415
forbid	proscribe	18	93	0.1935483870967742
foreshadow	foretell	6	26	0.23076923076923078
fortify	strengthen	191	405	0.47160493827160493
freshen	refresh	8	32	0.25
furnish	provide	343	2951	0.11623178583531006
glean	reap	38	128	0.296875
hanker	yearn	12	27	0.4444444444444444
happen	occur	724	5588	0.12956335003579098
humiliate	mortify	88	142	0.6197183098591549
imbue	pervade	3	35	0.08571428571428572
imitate	simulate	14	62	0.22580645161290322
imprison	incarcerate	14	49	0.2857142857142857
inhabit	populate	7	61	0.11475409836065574
inhibit	suppress	15	30	0.5
irritate	vex	144	264	0.5454545454545454
meditate	ponder	57	147	0.3877551020408163
meditate	ruminate	28	44	0.6363636363636364
misconstrue	misunderstand	47	64	0.734375
mollify	pacify	12	26	0.46153846153846156
mystify	perplex	35	63	0.5555555555555556
nauseate	sicken	37	67	0.5522388059701493
necessitate	require	32	264	0.12121212121212122
outlast	outlive	10	25	0.4
permeate	pervade	35	81	0.43209876543209874
ponder	ruminate	19	31	0.6129032258064516
foretell	portend	3	40	0.075
foretell	predict	49	253	0.19367588932806323
prohibit	proscribe	6	40	0.15
quench	slake	25	46	0.5434782608695652
allay	quench	22	71	0.30985915492957744
react	respond	6	56	0.10714285714285714
recant	retract	23	49	0.46938775510204084
regain	retrieve	13	32	0.40625
renounce	repudiate	27	61	0.4426229508196721
annul	rescind	22	46	0.4782608695652174
resign	vacate	7	70	0.1
renounce	resign	58	227	0.2555066079295154
resound	reverberate	22	75	0.29333333333333333
reveal	uncover	52	201	0.25870646766169153
revile	vilify	13	26	0.5
roam	wander	144	769	0.18725617685305593
shrivel	wither	130	280	0.4642857142857143
allay	slake	6	25	0.24
stun	stupefy	145	180	0.8055555555555556
supersede	supplant	13	46	0.2826086956521739
inoculate	vaccinate	12	59	0.2033898305084746
