admission,ticket,NN,7.69
alcohol,chemistry,NN,5.54
aluminum,metal,NN,7.83
announcement,effort,NN,2.75
announcement,news,NN,7.56
announcement,production,NN,3.38
announcement,warning,NN,6
architecture,century,NN,3.78
arrangement,accommodation,NN,5.41
arrival,hotel,NN,6
asylum,madhouse,NN,8.87
atmosphere,landscape,NN,3.69
attempt,peace,NN,4.25
baby,mother,NN,7.85
bank,money,NN,8.12
baseball,season,NN,5.97
bed,closet,NN,6.72
bird,cock,NN,7.1
bird,crane,NN,7.38
bishop,rabbi,NN,6.69
board,recommendation,NN,4.47
book,library,NN,7.46
book,paper,NN,7.46
boxing,round,NN,7.61
boy,lad,NN,8.83
bread,butter,NN,6.19
brother,monk,NN,6.27
calculation,computation,NN,8.44
canyon,landscape,NN,7.53
car,automobile,NN,8.94
car,flight,NN,4.94
cell,phone,NN,7.81
cemetery,woodland,NN,2.08
century,nation,NN,3.16
century,year,NN,7.59
championship,tournament,NN,8.36
change,attitude,NN,5.44
chord,smile,NN,0.54
closet,clothes,NN,8
coast,forest,NN,3.15
coast,hill,NN,4.38
coast,shore,NN,9.1
company,stock,NN,7.08
competition,price,NN,6.44
computer,keyboard,NN,7.62
computer,laboratory,NN,6.78
computer,news,NN,4.47
computer,software,NN,8.5
concert,virtuoso,NN,6.81
consumer,confidence,NN,4.13
consumer,energy,NN,4.75
country,citizen,NN,7.31
credit,card,NN,8.06
credit,information,NN,5.31
cucumber,potato,NN,5.92
cup,article,NN,2.4
cup,artifact,NN,2.92
cup,coffee,NN,6.58
cup,drink,NN,7.25
cup,food,NN,5
cup,liquid,NN,5.9
cup,object,NN,3.69
cup,substance,NN,1.92
currency,market,NN,7.5
day,dawn,NN,7.53
day,summer,NN,3.94
death,inmate,NN,5.03
decoration,valor,NN,5.63
delay,news,NN,3.31
deployment,withdrawal,NN,5.88
development,issue,NN,3.97
direction,combination,NN,2.25
disability,death,NN,5.47
disaster,area,NN,6.25
discovery,space,NN,6.34
dividend,calculation,NN,6.48
dividend,payment,NN,7.63
doctor,nurse,NN,7
doctor,personnel,NN,5
dollar,buck,NN,9.22
dollar,loss,NN,6.09
dollar,profit,NN,7.38
dollar,yen,NN,7.78
drink,car,NN,3.04
drink,ear,NN,1.31
drink,eat,VB,6.87
drink,mother,NN,2.65
drink,mouth,NN,5.96
drug,abuse,NN,6.85
energy,crisis,NN,5.94
energy,laboratory,NN,5.09
energy,secretary,NN,1.81
environment,ecology,NN,8.81
equipment,maker,NN,5.91
exhibit,memorabilia,NN,5.31
experience,music,NN,3.47
family,planning,NN,6.25
fertility,egg,NN,6.69
focus,life,NN,4.06
food,fruit,NN,7.52
food,preparation,NN,6.22
food,rooster,NN,4.42
football,basketball,NN,6.81
football,soccer,NN,9.03
football,tennis,NN,6.63
forest,graveyard,NN,1.85
fuck,sex,NN,9.44
furnace,stove,NN,8.79
game,defeat,NN,6.97
game,round,NN,5.97
game,series,NN,6.19
game,team,NN,7.69
game,victory,NN,7.03
gem,jewel,NN,8.96
gender,equality,NN,6.41
glass,magician,NN,2.08
glass,metal,NN,5.56
government,crisis,NN,6.56
governor,interview,NN,3.25
governor,office,NN,6.34
grocery,money,NN,5.94
holy,sex,NN,1.62
hospital,infrastructure,NN,4.63
hotel,reservation,NN,8.03
image,surface,NN,4.56
impartiality,interest,NN,5.16
investigation,effort,NN,4.59
jaguar,cat,NN,7.42
journal,association,NN,4.97
journey,car,NN,5.85
journey,voyage,NN,9.29
king,queen,NN,8.58
king,rook,NN,5.92
lad,brother,NN,4.46
lad,wizard,NN,0.92
law,lawyer,NN,8.38
lawyer,evidence,NN,6.69
liability,insurance,NN,7.03
life,death,NN,7.88
life,lesson,NN,5.94
life,term,NN,4.5
line,insurance,NN,2.69
liquid,water,NN,7.89
listing,category,NN,6.38
lobster,food,NN,7.81
lobster,wine,NN,5.7
love,sex,NN,6.77
lover,quarrel,NN,6.19
luxury,car,NN,6.47
magician,wizard,NN,9.02
man,governor,NN,5.25
man,woman,NN,8.3
marathon,sprint,NN,7.47
midday,noon,NN,9.29
mile,kilometer,NN,8.66
minister,party,NN,6.63
ministry,culture,NN,4.69
minority,peace,NN,3.69
money,bank,NN,8.5
money,cash,NN,9.15
money,currency,NN,9.04
money,deposit,NN,7.73
money,dollar,NN,8.42
money,operation,NN,3.31
money,possession,NN,7.29
money,property,NN,7.57
money,wealth,NN,8.27
money,withdrawal,NN,6.88
monk,oracle,NN,5
monk,slave,NN,0.92
month,hotel,NN,1.81
morality,importance,NN,3.31
morality,marriage,NN,3.69
movie,critic,NN,6.73
movie,popcorn,NN,6.19
movie,star,NN,7.38
movie,theater,NN,7.92
murder,manslaughter,NN,8.53
museum,theater,NN,7.19
music,project,NN,3.63
nature,environment,NN,8.31
nature,man,NN,6.25
network,hardware,NN,8.31
news,report,NN,8.16
noon,string,NN,0.54
observation,architecture,NN,4.38
oil,stock,NN,6.34
opera,industry,NN,2.63
opera,performance,NN,6.88
peace,atmosphere,NN,3.69
peace,insurance,NN,2.94
peace,plan,NN,4.75
phone,equipment,NN,7.13
physics,chemistry,NN,7.35
physics,proton,NN,8.12
plane,car,NN,5.77
planet,astronomer,NN,7.94
planet,constellation,NN,8.06
planet,galaxy,NN,8.11
planet,moon,NN,8.08
planet,people,NN,5.75
planet,space,NN,7.92
planet,star,NN,8.45
planet,sun,NN,8.02
population,development,NN,3.75
possibility,girl,NN,1.94
practice,institution,NN,3.19
precedent,collection,NN,2.5
precedent,example,NN,5.85
precedent,group,NN,1.77
precedent,information,NN,3.85
precedent,law,NN,6.65
prejudice,recognition,NN,3
preservation,world,NN,6.19
president,medal,NN,3
problem,airport,NN,2.38
problem,challenge,NN,6.75
professor,doctor,NN,6.62
profit,loss,NN,7.63
profit,warning,NN,3.88
psychology,clinic,NN,6.58
psychology,depression,NN,7.42
psychology,discipline,NN,5.58
psychology,doctor,NN,6.42
psychology,fear,NN,6.85
