noon,string,0.08,3.757433,8.551353
rooster,voyage,0.08,3.6792953,7.728548
glass,magician,0.11,4.8943253,10.441513
chord,smile,0.13,4.4363647,9.821261
coast,forest,0.42,5.0996575,11.161232
lad,wizard,0.42,4.2752357,9.330149
monk,slave,0.55,3.797762,8.835085
shore,woodland,0.63,5.221971,10.815367
forest,graveyard,0.84,4.858909,10.146862
coast,hill,0.87,5.198075,11.354355
food,rooster,0.89,4.7207146,9.828547
cemetery,woodland,0.95,5.0882783,10.077967
monk,oracle,1.1,4.639206,9.847879
journey,car,1.16,4.969296,11.010074
lad,brother,1.66,4.4214244,10.422995
brother,monk,2.82,4.823771,10.789425
tool,implement,2.95,8.6889715,11.128659
bird,crane,2.97,7.1188283,12.662588
bird,cock,3.05,6.5672097,12.41628
food,fruit,3.08,5.9697175,12.1972065
furnace,stove,3.11,6.934853,12.394662
midday,noon,3.42,6.416794,11.850178
magician,wizard,3.5,8.008048,13.051569
asylum,madhouse,3.61,8.015531,12.423055
coast,shore,3.7,6.6059456,12.848591
boy,lad,3.76,5.5813985,11.977628
gem,jewel,3.84,7.984973,13.587339
journey,voyage,3.84,5.335732,11.376122
car,automobile,3.92,7.570006,13.307346
